Year,NationalMedicalExpenditure,NationalMedicalExpenditure_GrowthRate,NationalMedicalExpenditure_PerPerson,NationalMedicalExpenditure_PerPerson_GrowthRate,GrossDomesticProduct,GrossDomesticProduct_GrowthRate,NationalIncome,NationalIncome_GrowthRate,RatioOf_NationalMedicalExpenditure_PerGDP,RatioOf_NationalMedicalExpenditure_PerNationalIncome,TotalPopulation
2020,429665,-3.2,340600,-3.2,5355099,-3.9,,,8.02,,126146000
2019,443895,2.3,351800,2.5,5573065,0.2,4006470,-0.4,7.97,11.08,126167000
2018,433949,0.8,343200,1,5563037,0.1,4022687,0.4,7.8,10.79,126443000
2017,430710,2.2,339900,2.4,5557219,2,4005164,2.1,7.75,10.75,126706000
2016,421381,-0.5,332000,-0.4,5448272,0.8,3922939,-0.1,7.73,10.74,126933000
2015,423644,3.8,333300,3.8,5407394,3.3,3926293,4.2,7.83,10.79,127095000
2014,408071,1.9,321100,2,5234183,2.1,3766776,1.1,7.8,10.83,127083000
2013,400610,2.2,314700,2.3,5126856,2.7,3725700,4,7.81,10.75,127298000
2012,392117,1.6,307500,1.9,4994239,-0.1,3581562,0.2,7.85,10.95,127515000
2011,385850,3.1,301900,3.3,5000405,-1,3574735,-2,7.72,10.79,127799000
2010,374202,3.9,292200,3.5,5048721,1.5,3646882,3.4,7.41,10.26,128057000
2009,360067,3.4,282400,3.6,4973668,-3.6,3527011,-3.2,7.24,10.21,127510000
2008,348084,2,272600,2,5161740,-4.1,3643680,-7.7,6.74,9.55,127692000
2007,341360,3,267200,3,5384840,0.2,3948132,0,6.34,8.65,127771000
2006,331276,0,259300,0,5372610,0.6,3949897,1.8,6.17,8.39,127770000
2005,331289,3.2,259300,3.1,5341097,0.8,3881164,-0.1,6.2,8.54,127768000
2004,321111,1.8,251500,1.8,5296336,0.6,3885761,1.8,6.06,8.26,127687000
2003,315375,1.9,247100,1.7,5262226,0.5,3815556,2,5.99,8.27,127619000
2002,309507,-0.5,242900,-0.6,5234660,-0.7,3742479,-0.5,5.91,8.27,127435000
2001,310998,3.2,244300,2.9,5274084,-1.9,3761387,-3.6,5.9,8.27,127291000
2000,301418,-1.8,237500,-2,5376162,1.4,3901638,3.2,5.61,7.73,126926000
1999,307019,3.8,242300,3.6,5302975,-0.8,3780885,-0.3,5.79,8.12,126686000
1998,295823,2.3,233900,2.1,5345673,-1.5,3793939,-3,5.53,7.8,126486000
1997,289149,1.6,229200,1.4,5425005,0.7,3909431,-0.8,5.33,7.4,126166000
1996,284542,5.6,226100,5.3,5386584,2.5,3940248,3.6,5.28,7.22,125864000
1995,269577,4.5,214700,4.1,5253045,2.6,3801581,1.9,5.13,7.09,125570000
1994,257908,5.9,206300,5.6,5119546,6.1,3729768,2.1,5.04,6.91,125034000
1993,243631,3.8,195300,3.5,4826076,-0.1,3653760,-0.2,5.05,6.67,124764000
1992,234784,7.6,188700,7.2,4832556,2,3660072,-0.8,4.86,6.41,124452000
1991,218260,5.9,176000,5.6,4736076,4.9,3689316,6.4,4.61,5.92,124043000
1990,206074,4.5,166700,4.1,4516830,8.6,3468929,8.1,4.56,5.94,123611000
1989,197290,5.2,160100,4.8,4158852,7.3,3208020,6,4.74,6.15,123255000
1988,187554,3.8,152800,3.4,3876856,7,3027101,7.7,4.84,6.2,122783000
1987,180759,5.9,147800,5.3,3622967,5.9,2810998,4.9,4.99,6.43,122264000
1986,170690,6.6,140300,6,3422664,3.6,2679415,2.8,4.99,6.37,121672000
1985,160159,6.1,132300,5.4,3303968,7.2,2605599,7.2,4.85,6.15,121049000
1984,150932,3.8,125500,3.1,3082384,6.7,2431172,5.1,4.9,6.21,120235000
1983,145438,4.9,121700,4.2,2887727,4.6,2312900,5.1,5.04,6.29,119483000
1982,138659,7.7,116800,7,2761628,4.4,2201314,4,5.02,6.3,118693000
1981,128709,7.4,109200,6.7,2646417,6.5,2116151,3.8,4.86,6.08,117884000
1980,119805,9.4,102300,8.5,2483759,10.3,2038787,11.9,4.82,5.88,117060000
1979,109510,9.5,94300,8.5,2252372,8,1822066,6.1,4.86,6.01,116133000
1978,100042,16.8,86900,15.7,2086022,9.7,1717785,10.3,4.8,5.82,115174000
1977,85686,11.7,75100,10.8,1900945,11,1557032,10.9,4.51,5.5,114154000
1976,76684,18.4,67800,17.1,1712934,12.4,1403972,13.2,4.48,5.46,113089000
1975,64779,20.4,57900,19.1,1523616,10,1239907,10.2,4.25,5.22,111940000
1974,53786,36.2,48600,34.3,1384511,18.6,1124716,17.4,3.88,4.78,110573000
1973,39496,16.2,36200,14.6,1167150,21,958396,23,3.38,4.12,109104000
1972,33994,24.7,31600,22,964863,16.4,779369,18.2,3.52,4.36,107595000
1971,27250,9.2,25900,7.5,828993,10.1,659105,8,3.29,4.13,105145000
1970,24962,20.1,24100,18.7,752985,15.7,610297,17.1,3.32,4.09,103720000
1969,20780,15.3,20300,14,650614,18.4,521178,19.2,3.19,3.99,102536000
1968,18016,19.2,17800,17.9,549470,18.3,437209,16.4,3.28,4.12,101331000
1967,15116,16.3,15100,15.3,464454,17,375477,18.7,3.25,4.03,100196000
1966,13002,15.8,13100,14.9,396989,17.6,316448,18,3.28,4.11,99036000
1965,11224,19.5,11400,17.5,337653,11.1,268270,11.5,3.32,4.18,98275000
1964,9389,24.5,9700,24.4,303997,15.9,240514,14,3.09,3.9,97182000
1963,7541,23,7800,21.9,262286,17.5,210993,17.9,2.88,3.57,96156000
1962,6132,19.5,6400,18.5,223288,10.7,178933,11.3,2.75,3.43,95181000
1961,5130,25.3,5400,22.7,201708,20.9,160819,19.2,2.54,3.19,94287000
1960,4095,13,4400,12.8,166806,20,134967,22.2,2.45,3.03,93419000
1959,3625,12.2,3900,11.4,138970,17.3,110421,17.7,2.61,3.28,92641000
1958,3230,11.5,3500,9.4,118451,7.1,93829,5.8,2.73,3.44,91767000
1957,2897,12.2,3200,10.3,110641,14.7,88681,12.3,2.62,3.27,90928000
1956,2583,8.2,2900,7.4,96477,12.2,78962,13.2,2.68,3.27,90172000
1955,2388,11,2700,12.5,85979,,69733,,2.78,3.42,89276000
1954,2152,,2400,,,,,,,,88239000
